,FAQ_Titles,FAQ_Desc,FAQ_Urls
31,How do I set a spending limit for debit card payments in my Barclays app?,,https://www.barclays.co.uk/help/mobile-banking/spending/spending-limit/#back=%2Fcontent%2Fbarclaysuk%2Fen%2Fhelp%2Fresults.html%3Fq%3Dneed%2Bhelp%2Bwith%2Bdebit%2Bcard%26offset%3D30%26origin%3Dhelp.barclays.co.uk%26direct%3Dfalse%26spellcheck%3Dtrue
32,Why won't the gates open when I touch my contactless Barclays debit card or Barclaycard on a Transport for London (TfL) reader?,Find out what you need to do if your contactless debit card doesn't open Transport for London gates.,https://www.barclays.co.uk/help/cards/contactless/gates-opening/#back=%2Fcontent%2Fbarclaysuk%2Fen%2Fhelp%2Fresults.html%3Fq%3Dneed%2Bhelp%2Bwith%2Bdebit%2Bcard%26offset%3D30%26origin%3Dhelp.barclays.co.uk%26direct%3Dfalse%26spellcheck%3Dtrue
33,What will I be charged when using my Barclays debit card?,See the table below for and charges incurred for using your Barclays debit card in the UK and abroad.,https://www.barclays.co.uk/help/cards/debit-card/debit-card-charges/#back=%2Fcontent%2Fbarclaysuk%2Fen%2Fhelp%2Fresults.html%3Fq%3Dneed%2Bhelp%2Bwith%2Bdebit%2Bcard%26offset%3D30%26origin%3Dhelp.barclays.co.uk%26direct%3Dfalse%26spellcheck%3Dtrue
34,My debit card expires soon – when will I get a new one?,"We’ll send you one before you current one expires. If it hasn’t turned up, find out what you can do.",https://www.barclays.co.uk/help/cards/using-cards/when-new-card/#back=%2Fcontent%2Fbarclaysuk%2Fen%2Fhelp%2Fresults.html%3Fq%3Dneed%2Bhelp%2Bwith%2Bdebit%2Bcard%26offset%3D30%26origin%3Dhelp.barclays.co.uk%26direct%3Dfalse%26spellcheck%3Dtrue
35,How to make a debit card payment into your Smart Investor Investment Account or ISA,Watch our step-by-step video to learn how to make a debit card payment into your Smart Investor account,https://www.barclays.co.uk/smart-investor/video/how-to-videos/debit-card-payment-isa-gia/#back=%2Fcontent%2Fbarclaysuk%2Fen%2Fhelp%2Fresults.html%3Fq%3Dneed%2Bhelp%2Bwith%2Bdebit%2Bcard%26offset%3D30%26origin%3Dhelp.barclays.co.uk%26direct%3Dfalse%26spellcheck%3Dtrue
36,How do I set a lower contactless limit for debit card payments in my Barclays app?,,https://www.barclays.co.uk/help/cards/contactless/set-a-contactless-limit-in-app/#back=%2Fcontent%2Fbarclaysuk%2Fen%2Fhelp%2Fresults.html%3Fq%3Dneed%2Bhelp%2Bwith%2Bdebit%2Bcard%26offset%3D30%26origin%3Dhelp.barclays.co.uk%26direct%3Dfalse%26spellcheck%3Dtrue
37,I would like to access my Mortgage Reserve but I lost my debit card and/or cheque book. What do I need to do?,See the number to call to get your card or chequebook re-issued here.,https://www.barclays.co.uk/help/mortgages/reserve/lost-card-chequebook/#back=%2Fcontent%2Fbarclaysuk%2Fen%2Fhelp%2Fresults.html%3Fq%3Dneed%2Bhelp%2Bwith%2Bdebit%2Bcard%26offset%3D30%26origin%3Dhelp.barclays.co.uk%26direct%3Dfalse%26spellcheck%3Dtrue
38,What happens if I have an outstanding Transport for London (TfL) payment on my Barclays debit card or Barclaycard?,TfL will try to take payment the next time you touch in to make a journey. They’ll also attempt to take the payment using your card details.,https://www.barclays.co.uk/help/cards/debit-card/tfl-money-owed/#back=%2Fcontent%2Fbarclaysuk%2Fen%2Fhelp%2Fresults.html%3Fq%3Dneed%2Bhelp%2Bwith%2Bdebit%2Bcard%26offset%3D30%26origin%3Dhelp.barclays.co.uk%26direct%3Dfalse%26spellcheck%3Dtrue
39,Contactless cash,"With contactless cash, you can take out money with just a tap of your contactless debit card or Android smartphone.",https://www.barclays.co.uk/ways-to-bank/contactless-cash/#back=%2Fcontent%2Fbarclaysuk%2Fen%2Fhelp%2Fresults.html%3Fq%3Dneed%2Bhelp%2Bwith%2Bdebit%2Bcard%26offset%3D30%26origin%3Dhelp.barclays.co.uk%26direct%3Dfalse%26spellcheck%3Dtrue
40,"Do I need to register my contactless debit card, Barclaycard or Barclaycard PayTag with Transport for London (TfL) to use its services?","No, but if you sign up for a TfL online account and register your card, you can see your journey and payments history .",https://www.barclays.co.uk/help/cards/contactless/register-tfl/#back=%2Fcontent%2Fbarclaysuk%2Fen%2Fhelp%2Fresults.html%3Fq%3Dneed%2Bhelp%2Bwith%2Bdebit%2Bcard%26offset%3D40%26origin%3Dhelp.barclays.co.uk%26direct%3Dfalse%26spellcheck%3Dtrue
41,How do I pay cash in at branches?,You’ll now need either your Barclays debit card or pre-printed paying-in slip to pay cash in at our branches.,https://www.barclays.co.uk/help/payments/how-do-i-pay-cash-in-at-branches/#back=%2Fcontent%2Fbarclaysuk%2Fen%2Fhelp%2Fresults.html%3Fq%3Dneed%2Bhelp%2Bwith%2Bdebit%2Bcard%26offset%3D40%26origin%3Dhelp.barclays.co.uk%26direct%3Dfalse%26spellcheck%3Dtrue
42,"Do I have to show my contactless Barclays debit card, Barclaycard or PayTag to a Transport for London (TfL) ticket inspector or member of staff if asked?","Find out if you have to show your contactless Barclays debit card, Barclaycard or PayTag to a Transport for London (TfL) member of staff if asked.",https://www.barclays.co.uk/help/cards/contactless/show-card-tfl/#back=%2Fcontent%2Fbarclaysuk%2Fen%2Fhelp%2Fresults.html%3Fq%3Dneed%2Bhelp%2Bwith%2Bdebit%2Bcard%26offset%3D40%26origin%3Dhelp.barclays.co.uk%26direct%3Dfalse%26spellcheck%3Dtrue
43,Contactless payments,"For easier, faster payments upgrade your debit card to contactless. Make fully secure payments without even needing your PIN.",https://www.barclays.co.uk/current-accounts/debit-cards/contactless/#back=%2Fcontent%2Fbarclaysuk%2Fen%2Fhelp%2Fresults.html%3Fq%3Dneed%2Bhelp%2Bwith%2Bdebit%2Bcard%26offset%3D40%26origin%3Dhelp.barclays.co.uk%26direct%3Dfalse%26spellcheck%3Dtrue
44,Can I use my Barclays debit card or Barclaycard to make purchases and earn rewards through Barclays Blue Rewards?,"Barclays Blue Rewards can't be earned with your Barclays debit card or Barclaycard, you'll need to use Online Banking or the Barclays Mobile Banking app.",https://www.barclays.co.uk/help/accounts/added-features/card-purchase-blue-rewards/#back=%2Fcontent%2Fbarclaysuk%2Fen%2Fhelp%2Fresults.html%3Fq%3Dneed%2Bhelp%2Bwith%2Bdebit%2Bcard%26offset%3D40%26origin%3Dhelp.barclays.co.uk%26direct%3Dfalse%26spellcheck%3Dtrue
45,My card has been captured by a cash machine. What should I do?,"Unfortunately, any cards eaten by cash machines are destroyed. Find out how to order a replacement for your Barclays debit card or Barclaycard here.",https://www.barclays.co.uk/help/cards/using-cards/card-captured/#back=%2Fcontent%2Fbarclaysuk%2Fen%2Fhelp%2Fresults.html%3Fq%3Dneed%2Bhelp%2Bwith%2Bdebit%2Bcard%26offset%3D40%26origin%3Dhelp.barclays.co.uk%26direct%3Dfalse%26spellcheck%3Dtrue
46,Are Barclays contactless debit cards accepted on Transport for London (TfL) services?,"See how to use you contactless Barclays debit card, Barclaycard or Barclaycard PayTags on Transport for London services. Find Out More on Barclays.co.uk",https://www.barclays.co.uk/help/cards/contactless/cards-accepted-tfl/#back=%2Fcontent%2Fbarclaysuk%2Fen%2Fhelp%2Fresults.html%3Fq%3Dneed%2Bhelp%2Bwith%2Bdebit%2Bcard%26offset%3D40%26origin%3Dhelp.barclays.co.uk%26direct%3Dfalse%26spellcheck%3Dtrue
47,What's contactless cash?,"With contactless cash, you’ll be able to take out money with just a tap of your contactless debit card or Android smartphone. Here’s how it works.",https://www.barclays.co.uk/help/accounts/account-services/what-is-contactless-cash/#back=%2Fcontent%2Fbarclaysuk%2Fen%2Fhelp%2Fresults.html%3Fq%3Dneed%2Bhelp%2Bwith%2Bdebit%2Bcard%26offset%3D40%26origin%3Dhelp.barclays.co.uk%26direct%3Dfalse%26spellcheck%3Dtrue
48,Google Pay,Google Pay lets you use your Android device to pay with your Barclays debit card wherever you see the Google Pay or contactless logo.,https://www.barclays.co.uk/ways-to-bank/mobile-banking-services/google-pay/#back=%2Fcontent%2Fbarclaysuk%2Fen%2Fhelp%2Fresults.html%3Fq%3Dneed%2Bhelp%2Bwith%2Bdebit%2Bcard%26offset%3D40%26origin%3Dhelp.barclays.co.uk%26direct%3Dfalse%26spellcheck%3Dtrue
49,Apple Pay,Apple Pay lets you use your Apple device to pay with your Barclays debit card or Barclaycard wherever you see the Apple Pay or contactless logo.,https://www.barclays.co.uk/ways-to-bank/mobile-banking-services/apple-pay/#back=%2Fcontent%2Fbarclaysuk%2Fen%2Fhelp%2Fresults.html%3Fq%3Dneed%2Bhelp%2Bwith%2Bdebit%2Bcard%26offset%3D40%26origin%3Dhelp.barclays.co.uk%26direct%3Dfalse%26spellcheck%3Dtrue
50,What happens if I don't have enough funds to complete my Transport for London (TfL) journey using a contactless Barclays debit card or Barclaycard?,"If you don't have enough money in your Barclays account to complete a journey with your contactless card, you'll need to contact TfL to pay the difference",https://www.barclays.co.uk/help/cards/contactless/travel-cost-tfl1/#back=%2Fcontent%2Fbarclaysuk%2Fen%2Fhelp%2Fresults.html%3Fq%3Dneed%2Bhelp%2Bwith%2Bdebit%2Bcard%26offset%3D50%26origin%3Dhelp.barclays.co.uk%26direct%3Dfalse%26spellcheck%3Dtrue
51,"Can I use my contactless Barclays debit card, Barclaycard or Barclaycard PayTag on the Transport for London (TfL) network as soon as I get it?",,https://www.barclays.co.uk/help/cards/contactless/can-i-use-my-contactless-barclays-debit-card--barclaycard-or-bar/#back=%2Fcontent%2Fbarclaysuk%2Fen%2Fhelp%2Fresults.html%3Fq%3Dneed%2Bhelp%2Bwith%2Bdebit%2Bcard%26offset%3D50%26origin%3Dhelp.barclays.co.uk%26direct%3Dfalse%26spellcheck%3Dtrue
52,"How much will it cost to travel with a contactless Barclays debit card, Barclaycard or Barclaycard PayTag on Transport for London services?",It’ll cost the same as using Oyster – an adult rate pay as you go fare.,https://www.barclays.co.uk/help/cards/contactless/travel-cost-tfl/#back=%2Fcontent%2Fbarclaysuk%2Fen%2Fhelp%2Fresults.html%3Fq%3Dneed%2Bhelp%2Bwith%2Bdebit%2Bcard%26offset%3D50%26origin%3Dhelp.barclays.co.uk%26direct%3Dfalse%26spellcheck%3Dtrue
53,"When will l be charged for using a contactless Barclays debit card, Barclaycard, Barclaycard PayTag on Transport for London (TfL) services?",The charge for using your Barclays contactless card on Transport for London services usually takes a few days to show up. find out more here.,https://www.barclays.co.uk/help/cards/contactless/when-charged/#back=%2Fcontent%2Fbarclaysuk%2Fen%2Fhelp%2Fresults.html%3Fq%3Dneed%2Bhelp%2Bwith%2Bdebit%2Bcard%26offset%3D50%26origin%3Dhelp.barclays.co.uk%26direct%3Dfalse%26spellcheck%3Dtrue
54,"Can I add my Transport for London (TfL) travelcard or bus and tram passes to my contactless Barclays debit card, Barclaycard or Barclaycard PayTag?","No, your journeys will be charged at the standard pay-as-you-go rates, but daily and weekly capping will be applied if you use your card enough.",https://www.barclays.co.uk/help/cards/contactless/add-travel-pass/#back=%2Fcontent%2Fbarclaysuk%2Fen%2Fhelp%2Fresults.html%3Fq%3Dneed%2Bhelp%2Bwith%2Bdebit%2Bcard%26offset%3D50%26origin%3Dhelp.barclays.co.uk%26direct%3Dfalse%26spellcheck%3Dtrue
55,Managing your money,"There’s lots of support available if an illness or a disability means you need help with money worries, or just with managing your bank account.",https://www.barclays.co.uk/journal/managing-your-money/#back=%2Fcontent%2Fbarclaysuk%2Fen%2Fhelp%2Fresults.html%3Fq%3Dneed%2Bhelp%2Bwith%2Bdebit%2Bcard%26offset%3D50%26origin%3Dhelp.barclays.co.uk%26direct%3Dfalse%26spellcheck%3Dtrue
56,Recovery Loan Scheme,Get the financial help you need to help your business recover and grow following the pandemic through this government-backed scheme.,https://www.barclays.co.uk/business-banking/borrow/recovery-loan-scheme/#back=%2Fcontent%2Fbarclaysuk%2Fen%2Fhelp%2Fresults.html%3Fq%3Dneed%2Bhelp%2Bwith%2Bdebit%2Bcard%26offset%3D50%26origin%3Dhelp.barclays.co.uk%26direct%3Dfalse%26spellcheck%3Dtrue
57,Do I need to plug the PINsentry card reader into my computer?,"No, it works remotely. You can find out more here.",https://www.barclays.co.uk/help/online-banking/pinsentry/card-reader-plug/#back=%2Fcontent%2Fbarclaysuk%2Fen%2Fhelp%2Fresults.html%3Fq%3Dneed%2Bhelp%2Bwith%2Bdebit%2Bcard%26offset%3D50%26origin%3Dhelp.barclays.co.uk%26direct%3Dfalse%26spellcheck%3Dtrue
58,Can I access my money abroad in an emergency?,"There are different ways to access your money, depending on whether or not you have your debit card. See how here.",https://www.barclays.co.uk/help/travel/emergency-money/#back=%2Fcontent%2Fbarclaysuk%2Fen%2Fhelp%2Fresults.html%3Fq%3Dneed%2Bhelp%2Bwith%2Bdebit%2Bcard%26offset%3D50%26origin%3Dhelp.barclays.co.uk%26direct%3Dfalse%26spellcheck%3Dtrue
59,Debit cards,"Get full control of your current account with Barclays Visa debit card. Make secure, convenient payments and even personalise your debit card.",https://www.barclays.co.uk/current-accounts/debit-cards/#back=%2Fcontent%2Fbarclaysuk%2Fen%2Fhelp%2Fresults.html%3Fq%3Dneed%2Bhelp%2Bwith%2Bdebit%2Bcard%26offset%3D50%26origin%3Dhelp.barclays.co.uk%26direct%3Dfalse%26spellcheck%3Dtrue
60,Travel wallet,Barclays travel wallet lets you buy foreign currency in the Barclays app and spend it on your debit card.,https://www.barclays.co.uk/travel/managing-money-abroad/travel-wallet/#back=%2Fcontent%2Fbarclaysuk%2Fen%2Fhelp%2Fresults.html%3Fq%3Dneed%2Bhelp%2Bwith%2Bdebit%2Bcard%26offset%3D60%26origin%3Dhelp.barclays.co.uk%26direct%3Dfalse%26spellcheck%3Dtrue
61,Business debit cards,"Save time, manage your cashflow and monitor and control your expenditure with a Barclays Business debit card.",https://www.barclays.co.uk/business-banking/accounts/business-debit-card/#back=%2Fcontent%2Fbarclaysuk%2Fen%2Fhelp%2Fresults.html%3Fq%3Dneed%2Bhelp%2Bwith%2Bdebit%2Bcard%26offset%3D60%26origin%3Dhelp.barclays.co.uk%26direct%3Dfalse%26spellcheck%3Dtrue
62,How do I replace my broken or damaged card?,"Find out how to replace a worn, broken or damaged debit card.",https://www.barclays.co.uk/help/cards/debit-card/replace-damaged-card/#back=%2Fcontent%2Fbarclaysuk%2Fen%2Fhelp%2Fresults.html%3Fq%3Dneed%2Bhelp%2Bwith%2Bdebit%2Bcard%26offset%3D60%26origin%3Dhelp.barclays.co.uk%26direct%3Dfalse%26spellcheck%3Dtrue
63,Post Office banking,Did you know you can do your Barclays banking essentials at the Post Office?,https://www.barclays.co.uk/ways-to-bank/post-office-banking/#back=%2Fcontent%2Fbarclaysuk%2Fen%2Fhelp%2Fresults.html%3Fq%3Dneed%2Bhelp%2Bwith%2Bdebit%2Bcard%26offset%3D60%26origin%3Dhelp.barclays.co.uk%26direct%3Dfalse%26spellcheck%3Dtrue
64,Where can I find more details about Smart Investor?,"If you need any help with Smart Investor, visit our website or give us a call. You’ll find more information on how to contact us and opening hours here.",https://www.barclays.co.uk/help/savings-and-investments/investments/where-can-i-find-more-details-about-smart-investor/#back=%2Fcontent%2Fbarclaysuk%2Fen%2Fhelp%2Fresults.html%3Fq%3Dneed%2Bhelp%2Bwith%2Bdebit%2Bcard%26offset%3D60%26origin%3Dhelp.barclays.co.uk%26direct%3Dfalse%26spellcheck%3Dtrue
